Date,Vendor,Campaign,Impressions,Clicks,Spend,Conversions,Site Visits,Funnel,CTR,CPC,CPA,CVR
2024-08-15,Meta,Campaign 4,48815,882,286.1732357,40,1180,Upper,0.018068216736658815,0.3244594509070295,7.154330892500001,0.045351473922902494
2025-03-27,Google,Campaign 2,42169,2635,136.4051059,113,2920,Lower,0.06248666081718798,0.05176664360531309,1.2071248309734512,0.0428842504743833
2024-12-31,Google,Campaign 5,22152,475,1481.91277,28,648,Lower,0.021442759118815456,3.1198163578947367,52.92545607142857,0.05894736842105263
2024-09-23,LinkedIn,Campaign 3,48675,1466,464.5443771,72,1671,Middle,0.030118130457113507,0.3168788384038199,6.4520052375,0.04911323328785812
2024-09-13,YouTube,Campaign 3,27375,1121,1412.517442,59,1197,Upper,0.04094977168949772,1.2600512417484389,23.940973593220342,0.05263157894736842
2025-04-28,Google,Campaign 3,28296,736,555.9604777,33,936,Lower,0.026010743567995476,0.7553810838315217,16.8472872030303,0.04483695652173913
2025-03-31,YouTube,Campaign 1,49582,2448,268.1532372,119,2500,Upper,0.049372756242184665,0.10953972107843137,2.2533885478991595,0.04861111111111111
2025-04-30,Meta,Campaign 1,16317,981,241.3681209,45,1156,Upper,0.06012134583563155,0.24604293669724772,5.36373602,0.045871559633027525
2024-09-05,YouTube,Campaign 3,41602,722,1145.608902,33,861,Upper,0.017354934858901015,1.5867159307479224,34.71542127272727,0.045706371191135735
2024-05-25,LinkedIn,Campaign 4,42986,2198,1454.502062,126,2434,Middle,0.0511329269994882,0.6617388817106461,11.543667158730159,0.05732484076433121
2025-03-28,Meta,Campaign 4,10235,309,1407.354887,22,363,Upper,0.030190522716170006,4.55454655987055,63.97067668181818,0.07119741100323625
2024-10-24,YouTube,Campaign 1,38994,1418,711.2229833,62,1585,Upper,0.03636456890803713,0.5015676892101552,11.471338440322581,0.04372355430183357
2024-12-06,Google,Campaign 3,31280,766,1254.902607,37,989,Lower,0.02448849104859335,1.6382540561357701,33.91628667567568,0.048302872062663184
2024-08-05,Meta,Campaign 4,20849,779,246.2611665,50,891,Upper,0.03736390234543623,0.3161247323491656,4.92522333,0.06418485237483953
2025-01-15,Meta,Campaign 1,31519,2233,930.2554968,122,2335,Upper,0.07084615628668423,0.41659449028213164,7.625045055737704,0.05463502015226153
2024-07-07,Verizon DSP,Campaign 3,30497,1882,1428.954111,95,1972,Middle,0.061710987966029446,0.7592742353878852,15.041622221052632,0.05047821466524974
2024-10-31,Google,Campaign 2,24828,1257,1437.377722,62,1379,Lower,0.05062832286128564,1.143498585521082,23.18351164516129,0.049323786793953855
2024-09-30,Google,Campaign 3,38598,2988,1942.676483,176,3024,Lower,0.07741333747862583,0.6501594655287818,11.0379345625,0.058902275769745646
2024-09-21,TikTok,Campaign 3,28398,1557,540.9776927,84,1666,Middle,0.054827804774984154,0.34744874290301864,6.440210627380953,0.05394990366088632
2024-11-29,Google,Campaign 5,40395,2626,1197.046188,131,2892,Lower,0.06500804555019185,0.4558439405940594,9.137757160305343,0.049885757806549885
2025-02-25,TikTok,Campaign 5,36446,469,764.3205371,19,654,Middle,0.012868353180047193,1.6296813157782517,40.227396689473686,0.04051172707889126
2025-03-17,YouTube,Campaign 2,38839,388,973.2389258,14,439,Upper,0.009989958546821495,2.508347746907216,69.51706612857143,0.03608247422680412
2025-05-04,Meta,Campaign 2,41507,475,392.814385,24,483,Upper,0.011443852844098585,0.826977652631579,16.367266041666667,0.05052631578947368
2025-04-22,Google,Campaign 3,26816,1055,1633.190577,54,1214,Lower,0.039342183770883055,1.5480479402843603,30.244269944444447,0.05118483412322275
2024-11-07,Meta,Campaign 4,24863,1247,1218.81099,59,1306,Upper,0.0501548485701645,0.9773945388933439,20.65781338983051,0.04731355252606255
2024-06-10,Google,Campaign 2,26133,1353,1696.458718,71,1600,Lower,0.051773619561474,1.2538497546193645,23.89378476056338,0.0524759793052476
2025-03-15,Roku,Campaign 3,39055,1716,1415.316154,82,1883,Middle,0.04393803610293176,0.8247763135198136,17.259953097560977,0.047785547785547784
2025-03-14,YouTube,Campaign 1,15228,396,399.6048321,21,565,Upper,0.026004728132387706,1.0091031113636364,19.028801528571428,0.05303030303030303
2024-06-17,YouTube,Campaign 5,48544,1315,554.2785349,52,1412,Upper,0.02708882663150956,0.4215045892775665,10.659202594230768,0.03954372623574144
2024-08-29,TikTok,Campaign 4,37334,2108,277.0977849,110,2150,Middle,0.05646327744147426,0.1314505620967742,2.519070771818182,0.05218216318785579
2025-03-24,Meta,Campaign 3,30433,556,149.9688578,23,788,Upper,0.018269641507574014,0.2697281615107914,6.52038512173913,0.04136690647482014
2024-10-05,LinkedIn,Campaign 1,49770,1975,601.6365044,98,2026,Middle,0.03968253968253968,0.3046260781772152,6.139148004081633,0.04962025316455696
2025-02-12,YouTube,Campaign 5,30708,2022,838.7049572,109,2087,Upper,0.06584603360687769,0.4147897909000989,7.694540891743119,0.05390702274975272
2024-10-05,Google,Campaign 1,21338,565,1329.327558,25,775,Lower,0.02647858281001031,2.3527921380530974,53.17310232,0.04424778761061947
2024-10-27,Google,Campaign 3,48743,2544,246.4730163,138,2654,Lower,0.052192109636255465,0.09688404728773585,1.78603635,0.054245283018867926
2025-01-24,Meta,Campaign 2,11502,618,1157.575639,38,889,Upper,0.05372978612415232,1.8730997394822004,30.46251681578947,0.061488673139158574
2025-02-11,YouTube,Campaign 5,49905,2923,1548.464436,157,3189,Upper,0.05857128544234045,0.5297517742045843,9.862830802547771,0.05371193978788916
2024-08-07,YouTube,Campaign 1,34825,2004,1900.028394,112,2260,Upper,0.0575448671931084,0.9481179610778443,16.964539232142858,0.05588822355289421
2024-10-13,Meta,Campaign 2,48855,3430,219.3301838,172,3679,Upper,0.07020775765018934,0.06394466,1.2751754872093022,0.05014577259475218
2025-02-21,Meta,Campaign 4,39833,470,189.3299999,33,643,Upper,0.011799261918509779,0.4028297870212766,5.737272724242424,0.07021276595744681
2025-03-23,Google,Campaign 3,48693,3795,425.088714,171,3797,Lower,0.07793728051259935,0.11201283636363636,2.485898912280702,0.045059288537549404
2025-03-27,Google,Campaign 3,6493,304,110.7513588,16,569,Lower,0.046819651932850766,0.3643136802631579,6.921959925,0.05263157894736842
2024-08-18,LinkedIn,Campaign 5,21309,351,1090.194517,18,595,Middle,0.016471913276080528,3.105967284900285,60.56636205555555,0.05128205128205128
2024-12-09,Google,Campaign 1,7999,295,127.796224,23,436,Lower,0.036879609951243904,0.4332075389830508,5.556357565217391,0.07796610169491526
2024-06-29,Meta,Campaign 4,22896,934,342.0595803,45,1168,Upper,0.040793151642208245,0.3662308140256959,7.601324006666666,0.048179871520342615
2025-03-26,Roku,Campaign 5,20028,645,1647.466019,46,862,Middle,0.03220491312162972,2.5542108821705427,35.814478673913044,0.07131782945736434
2025-02-10,Google,Campaign 5,29587,2004,1377.393274,115,2291,Lower,0.06773245006252746,0.687321993013972,11.977332817391305,0.05738522954091816
2024-11-22,Roku,Campaign 1,30917,2237,1896.110848,104,2482,Middle,0.0723550150402691,0.8476132534644614,18.231835076923076,0.0464908359409924
2025-01-19,YouTube,Campaign 4,22401,437,422.87838,22,624,Upper,0.019508057675996608,0.9676850800915332,19.221744545454545,0.05034324942791762
2025-02-19,YouTube,Campaign 1,9558,396,1756.022349,24,439,Upper,0.04143126177024482,4.434399871212121,73.167597875,0.06060606060606061
2025-01-29,Google,Campaign 3,47552,2718,298.6137689,139,2736,Lower,0.057158479138627184,0.10986525713760119,2.1483004956834533,0.051140544518027964
